removeOneFail,85
removeTwoFail,97
removeThreeFail,1201
removeThreeNoCallsRemoveOneFail,2467
removeOneWithCondFail,210
callBetTwiceFail,1571
callPlaceBetOnceInsufficientContractFail,1664
callDummyProc1And2And3CATFail,9800
simpleSchemTraceInclusionFail,275
callDummyProc1WithAssumptionsButAssumeNothingFail,286
callPlaceBetOnlyOncePreCondNotMetFail,267
casinoCaseStudySimpleFail,1545
removeOne,81
removeOneWithCond,212
removeOneLT,95
removeTwo,81
removeThree,1028
placeBetAbsTrSelf,64
placeBetInnerSimple,64
trivialMultipleObsCallee,123
callPlaceBetOnceSufficientContract,771
callPlaceBetDecidedBet,755
simpleSchemTraceInclusion,111
callDummyProc1AssumeNoDummyProc1Before,113
callDummyProc2And1SafeLocalContextOr,842
callPlaceBetOnlyOnceAssumePreTrace,133
callPlaceBetOnceSetVarsToOne,330
casinoCaseStudySimple,-1000
