removeOneFail,68
removeTwoFail,80
removeThreeFail,2396
removeThreeNoCallsRemoveOneFail,1034
removeOneWithCondFail,121
callBetTwiceFail,278
callPlaceBetOnceInsufficientContractFail,446
callDummyProc1And2And3CATFail,326
simpleSchemTraceInclusionFail,88
callDummyProc1WithAssumptionsButAssumeNothingFail,96
callPlaceBetOnlyOncePreCondNotMetFail,92
removeOne,64
removeOneWithCond,125
removeOneLT,83
removeTwo,64
removeThree,1609
placeBetAbsTrSelf,61
placeBetInnerSimple,62
trivialMultipleObsCallee,73
callPlaceBetOnceSufficientContract,157
callPlaceBetDecidedBet,118
simpleSchemTraceInclusion,83
callDummyProc1AssumeNoDummyProc1Before,82
callDummyProc2And1SafeLocalContextOr,150
callPlaceBetOnlyOnceAssumePreTrace,115
callPlaceBetOnceSetVarsToOne,101
